BSH,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO. IMPLANTACION","TOTAL","IVA 21% + RECARGO 5,2%","MARGEN ","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"PAE",,,,,"0","0","0",,,"0",,,
"MSM67160","(BOSCH) BATIDORA DE VARILLA - MANO - ERGOMIXX","2","32.43",,"32.43","40.92666","53.204658","63.9","55","14.073340000000002","28.146680000000003","1","1"
"MMR08R2","(BOSCH) PICADORA UNIVERSAL - 400W - ROJO","2","20.64",,"20.64","26.04768","33.861984","40.9","35","8.95232","17.90464",,
,,,,,"0","0","0",,,"0","0",,
"MINI HORNO",,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
