,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"DEVOLUCIONES, ROTURAS, …",,,,,,,,,,,,,
,,,,,,,,,,,,,,
RETIRADA POR PACO,,,,,,,,,,,,,,
OCT´24,2003010,CAMPANA CATA OMEGA 700WH,1,"130,84","  27,48 € ","  6,80 € ","  165,12 € ",ABONADO ,6/11/2024,,,,,
OCT´24,H20MOBP1G,MICROONDAS HISENSE NEGRO,1,"59,09","  12,41 € ","  3,07 € ","  74,57 € ",ABONADO ,3/11/2024,,,,,
,,,,,,,,,,,,,,
OCT´24,CF1PH854W,FRIGO. 1P 85CM BLANCO CORBERÓ,1,"  116,47 € ","  116,47 € ","  146,99 € ","  146,99 € ", ABONADO,15/12/2024,,,,,
,,,,,,,,,,,,,,
FEB´25,LBM91400VINV,LAVADORA BENAVENT 9KG,1,"  161,29 € ","  161,29 € ","  203,55 € ","  203,55 € ",ABONADO,19/4/2025,,,,,
,,,,,,,,,,,,,,
MARZO´25,113070007,CAMPANA CONV TEKA BLANCO,1,"  116,33 € ","  24,43 € ","  6,05 € ","  146,81 € ", ABONADO ,11/4/2025,,,,,
MARZO´25,GG633B,PLACA CRISTALGAS 3F NEGRO  HISENSE,1,"  96,59 € ","  20,28 € ","  5,02 € ","  121,90 € ",ABONADO,11/4/2025,,,,,
MARZO´25,CCIM3374SL3,PLACA INDUCCIÓN CORBERÓ 3F JESSI&MANOLO,1,"  140,71 € ","  29,55 € ","  7,32 € ","  177,58 € ",ABONADO,11/4/2025,,,,,
MARZO´25,F2PBH17260W,FRIGO 2P BENAVENT,1,"  225,81 € ","  47,42 € ","  11,74 € ","  284,97 € ",,,,,,,
