,,,,,,,,,,,,,,,,
,ARTÍCULOS VENDIDOS,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,
,,,,,,,,,,,,,,,,
,LAVADORAS,,,,,,,,,,,,,,,
,LBM71200VINV,"LAVADORA 7KG - 1200RPM - ""A""",3,"  201,22 € ","  189,33 € ","  238,93 € ","  298,66 € ","  324,64 € ","  289,00 € ",,3,0,,"  50,07 € ","  150,20 € ",
,HCU1292DW,LAVADORA CANDY 9KG (CLASE B),1,"  242,01 € ","  242,01 € ","  305,42 € ","  381,77 € ","  366,04 € ","  365,00 € ",,1,0,,"  59,58 € ","  59,58 € ",
,F4WV301S4,"LAVADORA LG 10,5KG VAPOR 1400RPM",1,"  367,23 € ","  367,23 € ","  463,44 € ","  579,31 € ","  572,62 € ","  569,00 € ",,,,,"  105,56 € ","  105,56 € ",
,CO4104TWM61S,LAVADORA CANDY 10KG,1,"  222,00 € ","  222,00 € ","  280,16 € ","  350,21 € ","  358,16 € ","  369,00 € ",,,,,"  88,84 € ","  88,84 € ",
,2466,LAVADORA CECOTEC 8500 INVERTER,1,"  224,61 € ","  224,61 € ","  283,46 € ","  354,32 € ","  339,73 € ","  339,00 € ",,1,0,,"  55,54 € ","  55,54 € ",
,LBM71200VINV,"LAVADORA 7KG - 1200RPM - ""A""",3,"  201,22 € ","  189,33 € ","  238,93 € ","  298,66 € ","  324,64 € ","  289,00 € ",,3,0,,"  50,07 € ","  150,20 € ",
,CO4104TWM61S,LAVADORA CANDY 10KG,2,"  222,00 € ","  222,00 € ","  280,16 € ","  350,21 € ","  358,16 € ","  369,00 € ",,2,0,,"  88,84 € ","  177,67 € ",
3ºCAMION,LBM91400VINV,"LAVADORA 9KG - 1400RPM - ""A""",3,"  207,53 € ","  207,53 € ","  261,90 € ","  327,38 € ","  355,99 € ","  319,00 € ",,3,0,,"  57,10 € ","  171,29 € ",
,CO4104TWM61S,LAVADORA CANDY 10KG,3,"  222,00 € ","  222,00 € ","  280,16 € ","  350,21 € ","  358,16 € ","  369,00 € ",,3,0,,"  88,84 € ","  266,51 € ",
,CLT703VIN,LAVADORA CORBERÓ 7KG,5,"  188,23 € ","  177,11 € ","  223,51 € ","  279,38 € ","  379,01 € ","  319,00 € ",,5,0,,"  95,49 € ","  477,46 € ",
3ºCAMION,ECLACSM6520,LAVADORA CORBERO SUP ,4,"  231,18 € ","  231,18 € ","  291,75 € ","  364,69 € ","  382,58 € ","  359,00 € ",,4,0,,"  67,25 € ",#REF!,
,CLT703VIN,LAVADORA CORBERÓ 7KG,9,"  229,03 € ","  229,03 € ","  289,04 € ","  361,29 € ","  379,01 € ","  319,00 € ",,9,0,,"  29,96 € ","  269,68 € ",
3ºCAMION,LBV81200D,"LAVADORA 8KG - 1200RPM - ""D""",6,"  187,10 € ","  187,10 € ","  236,12 € ","  295,15 € ","  320,94 € ","  289,00 € ",,6,0,,"  52,88 € ","  317,28 € ",
,WW90TA046AXEC,LAVADORA SAMSUNG 9KG,1,"  373,24 € ","  373,24 € ","  471,03 € ","  588,79 € ","  581,99 € ","  499,00 € ",,,,,"  27,97 € ","  27,97 € ",
,CLACSM8523,LAVADORA SUP CORBERÓ 8KG,3,"  271,72 € ","  271,72 € ","  342,91 € ","  428,64 € ","  449,66 € ","  419,00 € ",,2,1,,"  76,09 € ","  228,27 € ",
,CST27LET1S,LAVADORA SUP CANDY 7KG,1,"  253,27 € ","  253,27 € ","  319,63 € ","  399,53 € ","  383,06 € ","  359,00 € ",379,1,0,,"  39,37 € ","  39,37 € ",
4ºCAMION,CLT1004VIN,"LAVADORA CORBERÓ 10KG ""A""",10,"  236,56 € ","  236,56 € ","  298,54 € ","  373,17 € ","  417,56 € ","  399,00 € ",,10,0,,"  100,46 € ","  1.004,61 € ",
4ºCAMION,LBM91400VINV,"LAVADORA 9KG - 1400RPM - ""A""",10,"  181,00 € ","  181,00 € ","  228,42 € ","  285,53 € ","  312,83 € ","  299,00 € ",,10,0,,"  70,58 € ","  705,78 € ",
,LBM71200VINV,"LAVADORA 7KG - 1200RPM - ""A""",8,"  161,29 € ","  161,29 € ","  203,55 € ","  254,43 € ","  273,47 € ","  279,00 € ",,8,0,,"  75,45 € ","  603,62 € ",
,CO4104TWM61S,LAVADORA CANDY 10KG,9,"  222,00 € ","  222,00 € ","  280,16 € ","  336,20 € ","  358,16 € ","  369,00 € ",,9,0,,"  88,84 € ","  799,52 € ",
3ºCAMION,CLT10VIN,"LAVADORA CORBERÓ 10KG ""C""",3,"  243,01 € ","  243,01 € ","  306,68 € ","  383,35 € ","  427,00 € ","  359,00 € ",379,3,0,,"  52,32 € ","  156,96 € ",
3ºCAMION,CLT1003VIN,"LAVADORA CORBERÓ 10KG ""A""",2,"  254,84 € ","  254,84 € ","  321,61 € ","  385,93 € ","  459,00 € ","  349,00 € ",429,2,0,,"  27,39 € ","  54,78 € ",
,CSTG272D31S,LAVADORA CANDY CARGA SUP. 7KG,1,"  250,54 € ","  250,54 € ","  316,18 € ","  395,23 € ","  404,20 € ","  390,00 € ",,,,,"  73,82 € ","  295,27 € ",
,WW90T534DTWS3,LAVADORA SAMSUNG BLANCO,1,"  373,24 € ","  373,24 € ","  471,03 € ","  565,23 € ","  581,99 € ","  469,00 € ",,,,,"- 2,03 € ","- 2,03 € ",
,CLT803VIN,LAVADORA CORBERÓ 8KG,9,"  254,84 € ","  254,84 € ","  321,61 € ","  385,93 € ","  366,05 € ","  349,00 € ",379,8,0,,"  27,39 € ","  246,53 € ",
,CO4104TWM61S,"LAVADORA CANDY 10KG - ""A""",2,"  222,00 € ","  146,22 € ","  184,52 € ","  221,43 € ","  358,16 € ","  369,00 € ",,2,0,,"  184,48 € ","  368,95 € ",
,CLT805XVIN,LAVADORA INOX CORBERO 8KG,1,"  246,24 € ","  246,24 € ","  310,75 € ","  372,91 € ","  420,25 € ","  400,00 € ",,,,,"  89,25 € ","  89,25 € ",
,CO4104TWM61S,"LAVADORA CANDY 10KG - ""A""",1,"  222,00 € ","  222,00 € ","  280,16 € ","  336,20 € ","  383,74 € ","  369,00 € ",,,,,"  88,84 € ","  88,84 € ",
,CLT1004VIN,"LAVADORA CORBERÓ 10KG ""A""",9,"  245,88 € ","  231,35 € ","  291,96 € ","  379,55 € ","  425,00 € ","  399,00 € ",,9,0,,"  107,04 € ","  963,34 € ",
,MATO1508,"LAVADORA 8KG ""A"" 1400RPM",5,"  219,00 € ","  219,00 € ","  276,38 € ","  331,65 € ","  353,00 € ","  349,00 € ",,5,0,,"  72,62 € ","  363,11 € ",
,CLH610MC,LAVADORA CORBERÓ 6KG,2,"  167,65 € ","  157,74 € ","  199,07 € ","  238,88 € ","  289,78 € ","  275,00 € ",,1,1,,"  75,93 € ","  151,86 € ",
,CO4104TWM61S,"LAVADORA CANDY 10KG - ""A""",1,"  222,00 € ","  222,00 € ","  280,16 € ","  336,20 € ","  383,74 € ","  369,00 € ",,1,0,,"  88,84 € ","  88,84 € ",
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,
,LAVASECADORAS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,
,CSOW4965TWE1S,LAVASECADORA CANDY 9KG/6KG,1,"  332,19 € ","  332,19 € ","  419,22 € ","  524,03 € ","  502,44 € ","  499,00 € ",,,,,"  79,78 € ","  79,78 € ",
,CSOW4965TWE1S,LAVASECADORA CANDY,1,"  321,11 € ","  321,11 € ","  405,24 € ","  506,55 € ","  485,68 € ","  485,00 € ",,,,,"  79,76 € ","  79,76 € ",
,CSOW4965TWE1S,LAVASECADORA CANDY,1,"  293,72 € ","  293,72 € ","  370,67 € ","  463,34 € ","  485,68 € ","  470,00 € ",,,,,"  99,33 € ","  99,33 € ",
,COW4854TWM61S,LAVASECADORA CANDY 8+6KG,1,"  228,27 € ","  221,42 € ","  279,43 € ","  349,29 € ","  394,57 € ","  390,00 € ",,,,,"  110,57 € ","  110,57 € ",
,CSOW4965TWE1S,LAVASECADORA CANDY 9KG/6KG,1,"  321,11 € ","  321,11 € ","  405,24 € ","  486,29 € ","  449,00 € ","  449,00 € ",499,1,0,,"  43,76 € ","  43,76 € ",
,CLSH85VIN,LAVASECADORA CORBERO 8KG/5KG,1,"  278,49 € ","  278,49 € ","  351,45 € ","  456,89 € ","  526,71 € ","  460,00 € ",469,1,0,,"  108,55 € ","  108,55 € ",
,CSOW4965T,LAVASECADORA CANDY 9KG LAV + 6KG SEC,1,"  290,12 € ","  281,42 € ","  355,15 € ","  461,69 € ","  487,61 € ","  489,00 € ",,,,,"  133,85 € ","  133,85 € ",
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,
,FRIGORÍFICOS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,
,CF2PV31222W,FRIG 2P. CORBERÓ,2,"  204,30 € ","  204,30 € ","  257,83 € ","  322,28 € ","  391,47 € ","  319,00 € ",,2,0,,"  61,17 € ","  122,35 € ",
,CC200V22NFX,COMBI CORBERÓ 2M ACERO INOX,1,"  317,20 € ","  317,20 € ","  400,31 € ","  500,38 € ",,"  480,00 € ",,,,,"  79,69 € ","  79,69 € ",
,CCH322EX,"COMBI CORBERO 1,86M ACERO INOX",1,"  267,74 € ","  267,74 € ","  337,89 € ","  422,36 € ","  482,22 € ","  459,00 € ",,,,,"  121,11 € ","  121,11 € ",
,CCHGL185NFN,COMBI CORBERÓ 323L NEGRO,1,"  434,41 € ","  434,41 € ","  548,23 € ","  685,28 € ","  718,89 € ","  689,00 € ",,,,,"  140,77 € ","  140,77 € ",
,CCH322EW,"COMBI CORBERO 1,86M BLANCO",4,"  256,99 € ","  256,99 € ","  324,32 € ","  405,40 € ","  440,14 € ","  399,00 € ",,4,0,,"  74,68 € ","  298,71 € ",
,CCH322EX,COMBI CORBERÓ 186X60X60 INOX,6,"  291,40 € ","  291,40 € ","  367,75 € ","  459,68 € ","  482,22 € ","  409,00 € ",,6,0,,"  41,25 € ","  247,52 € ",
,CF2PV24022W,FRIG 2P. CORBERÓ,2,"  193,55 € ","  193,55 € ","  244,26 € ","  305,33 € ","  323,84 € ","  295,00 € ",,2,0,,"  50,74 € ","  101,48 € ",
,CFSBSH730NFW,AMERICANO CORBERÓ 442L BLANCO,2,"  403,23 € ","  403,23 € ","  508,88 € ","  636,10 € ","  667,28 € ","  659,00 € ",,2,0,,"  150,12 € ","  300,25 € ",
,F1PBH18560X,"COOLER BENAVENT 1,85MM INOX",1,"  343,01 € ","  343,01 € ","  432,88 € ","  541,10 € ","  548,28 € ","  545,00 € ",,,,,"  112,12 € ","  112,12 € ",
,CBV18560X,COMBI BENAVENT ,1,"  293,91 € ","  293,91 € ","  370,91 € ","  463,64 € ","  444,53 € ","  439,00 € ",,,,,"  68,09 € ","  68,09 € ",
,F2PBV144W,FRIG 2P ESTATICO BENAVENT,2,"  149,46 € ","  149,46 € ","  188,62 € ","  235,77 € ","  256,39 € ","  229,00 € ",,2,0,,"  40,38 € ","  80,76 € ",
,CBM17655EW,COMBI BENAVENT 176X55 BLANCO,3,"  203,23 € ","  203,23 € ","  256,48 € ","  320,60 € ","  348,61 € ","  329,00 € ",,3,0,,"  72,52 € ","  217,57 € ",
,F2PBH17260W,FRIGORÍFICO BENAVENT 2 PUERTAS,4,"  225,81 € ","  225,81 € ","  284,97 € ","  356,22 € ","  387,35 € ","  349,00 € ",,4,0,,"  64,03 € ","  256,11 € ",
