ORBEGOZO,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14,__EMPTY_16,__EMPTY_17
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","33% DTO","3% DTO","3%DTO","5%DTO","IVA 21% + RECARGO 5,2%","MARGEN 30%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,,,,,,,,,,,,
,,,,"0","0","0","0","0","0",,,"0","0",,
"EXPRIMIDOR",,,,"0","0","0","0","0","0",,,"0","0",,
"EP4200","EXPRIMIDOR OBEGOZO","1","49.9","16.467","1.00299","0","1.6215005000000002","38.880338989","50.5444406857","49.9","49","10.119661010999998","10.119661010999998",,
"EP4300","EXPRIMIDOR OBEGOZO 1100W INOX BRAZO","2","41.86","13.813799999999999","0.841386","0","1.3602406999999999","32.6158515046","42.40060695598","41.86","40","7.384148495399998","14.768296990799996","1","1"
"EP4300","EXPRIMIDOR OBEGOZO 1100W INOX BRAZO","3","41.86","13.813799999999999","0.841386","0","1.3602406999999999","32.6158515046","42.40060695598","41.86","40","7.384148495399998","22.152445486199994",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"FREIDORAS AIRE",,,,"0","0","0","0","0","0",,,"0","0",,
"FDR8010","FREIDORA SIN ACEITE NEGRA (8L)","2","90","29.7","0","1.8089999999999997","2.92455","70.1248599","91.16231787000001","90","90","19.875140099999996","39.75028019999999",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"GOFR./SANDW./PALOM",,,,"0","0","0","0","0","0",,,"0","0",,
"WL1500","GOFRERA BLANCA REDONDA 1000W","4","24.6","8.118","0.49445999999999996","0.4796262","0.77539569","18.592437854819998","24.170169211266","24.6","25","6.407562145180002","25.630248580720007","1","3"
"SW5000","SANDWICHERA","4","16.3","0","0","0.48900000000000005","0.7905500000000001","18.9558079","24.64255027","28","30","11.0441921","44.1767684","1","3"
,,,,"0","0","0","0","0","0",,,"0","0",,
"MICROONDAS",,,,"0","0","0","0","0","0",,,"0","0",,
"MI2115","MICROONDAS BLANCO 20L - 700W","3","69.89","23.063699999999997","2.3413150000000003","3.11394895","3.309682884","48.033427695492","62.443456004139605","69.89","69","20.966572304508","62.899716913523996","2","1"
"MI2117","MICROONDAS NEGRO 20L","2","77.09","25.439700000000002","1.5495089999999998","1.5030237299999998","2.4298883635","58.263863180003","75.74302213400391","77.09","75","16.736136819997","33.472273639994",,
"MI2122","MICROONDAS ORBEGOZO VINTAGE BLANCO/MADERA 20L","2","66.5","21.945","3.11885","1.2430845","2.009653275","48.18746622795","62.643706096335","72.25","75","26.812533772050003","53.625067544100006","1","1"
"MI2030CE","MICROONDAS 20L - SIN PLATO - 700W - 1150W - ","2","91.2","30.096","4.27728","1.7048016000000001","2.7560959200000004","66.08566796976","85.911368360688","91.2","89","22.914332030240004","45.82866406048001",,
"MI2531","MICROONDAS 25L, BLANCO, 900W+GRILL","2","127.3","42.00899999999999","5.97037","2.3796188999999996","3.8470505549999996","92.24457820779","119.917951670127","127.3","125","32.75542179221","65.51084358442","1","1"
"MIG2047","MICROONDAS 20L INOX - ORBEGOZO CON GRILL SIN PLATO","3","112.1","36.992999999999995","5.257490000000001","2.0954852999999996","3.387701235","81.23030021283002","105.59939027667903",,"110","28.769699787169984","86.30909936150995","1","2"
"MIG2047","MICROONDAS 20L INOX - ORBEGOZO CON GRILL SIN PLATO","1",,"0","0","0","0","0","0",,"110","110","110",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"MINIHORNO",,,,"0","0","0","0","0","0",,,"0","0",,
"HCC5015","MINI HORNO 15 LITROS NEGRO","1","42.9","0","0","1.287","2.08065","49.8898257","64.85677341","42.9","65","15.110174299999997","15.110174299999997",,
"HO990","MINI HORNO 10 LITROS ESPEJO/BLANCO","3","44","14.52","0","0.8844","1.42978","34.28326484","44.568244292","44","45","10.716735159999999","32.15020548","1","3"
"HO990","MINI HORNO 10 LITROS ESPEJO/BLANCO","2","44","14.52","0","0.8844","1.42978","34.28326484","44.568244292","44","45","10.716735159999999","21.433470319999998",,
"HO995","MINI HORNO 10 LITROS ESPEJO/NEGRO","5","44","14.52","0","0.8844","1.42978","34.28326484","44.568244292","44","45","10.716735159999999","53.583675799999995","2","3"
"HO975","MINI HORNO 10 LITROS - blanco","2","41","13.53","0","0.8240999999999999","1.3322949999999998","31.945769509999998","41.529500363","41","40","8.054230490000002","16.108460980000004",,
"HO985","MINI HORNO 10 LITROS - NEGRO","2","41","13.53","0","0.8240999999999999","1.3322949999999998","31.945769509999998","41.529500363","41","40","8.054230490000002","16.108460980000004","1","1"
,,,,"0","0","0","0","0","0",,,"0","0",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"PLANCHAS-COCINA",,,,"0","0","0","0","0","0",,,"0","0",,
"GDB3600","PLANCHA GRILL FUNDIDO PEQUEÑA","4","26.35","8.695500000000001","0","0.529635","0.85624325","20.5310006485","26.690300843050004","26.35","25","4.468999351499999","17.875997405999996",,
"GR3250","GRILL INOX 900W - PARRILLA","4","21","0","0.63","0.6111","0.987945","23.68894521","30.795628773","33","30","6.31105479","25.24421916","2","2"
"TB2203","TABLA ASADO 2000W","2","37.8","12.473999999999998","0.7597800000000001","0.7369866","1.1914616699999998","28.56886792326","37.139528300238005","37.8","35","6.431132076739999","12.862264153479998",,
"GR4570","GRILL 2200W","4","56","18.48",,"1.1256","1.8197199999999998","43.63324616","56.723220008","56","55","11.366753840000001","45.467015360000005","3","1"
"PCE6000","PLACA VITROCERÁMICA PORTATIL 2F","1","104.1","34.352999999999994","0","2.0924099999999997","3.3827295","81.111087951","105.4444143363","104.1","99","17.888912048999998","17.888912048999998",,
"FO 2720","PLACA GAS - CRISTAL NEGRO - 2 FUEGOS","4","100.55","33.1815","2.021055","0","3.2673722499999998","78.3450518105","101.84856735365","100.55","100","21.654948189500004","86.61979275800002","3","1"
"FO 2720","PLACA GAS - CRISTAL NEGRO - 2 FUEGOS","2","100.55","33.1815","2.021055","0","3.2673722499999998","78.3450518105","101.84856735365","100.55","100","21.654948189500004","43.30989637900001",,
